GmtTime,Open,High,Low,Close,Volume
2023-06-02 18:00:00+00:00,1951.46,1951.63,1950.21,1950.34,39
2023-06-02 18:15:00+00:00,1950.21,1951.35,1949.5,1950.58,40
2023-06-02 18:30:00+00:00,1950.96,1951.82,1950.1,1951.26,41
2023-06-02 18:45:00+00:00,1951.26,1951.73,1950.62,1950.98,38
2023-06-02 19:00:00+00:00,1950.62,1950.84,1949.6,1950.38,41
2023-06-02 19:15:00+00:00,1950.39,1950.61,1949.91,1950.29,38
2023-06-02 19:30:00+00:00,1950.03,1950.22,1948.3,1948.84,39
2023-06-02 19:45:00+00:00,1948.88,1948.88,1947.4,1948.63,40
2023-06-02 20:00:00+00:00,1948.78,1948.91,1948.2,1948.28,39
2023-06-02 20:15:00+00:00,1948.24,1948.68,1947.7,1948.36,40
2023-06-02 20:30:00+00:00,1948.36,1948.61,1947.5,1948.26,40
2023-06-02 20:45:00+00:00,1948.02,1948.35,1947.4,1947.97,39
2023-06-02 21:00:00+00:00,1947.97,1948.0,1947.97,1948.0,2
2023-06-04 19:00:00+00:00,1950.6,1950.6,1947.97,1947.97,3
2023-06-04 20:00:00+00:00,1947.97,1947.97,1947.97,1947.97,1
2023-06-04 21:00:00+00:00,1947.97,1950.6,1947.97,1950.6,2
2023-06-04 22:00:00+00:00,1947.5,1949.73,1946.6,1949.73,33
2023-06-04 22:15:00+00:00,1949.79,1950.01,1948.7,1949.68,32
2023-06-04 22:30:00+00:00,1949.38,1949.95,1948.3,1949.52,33
2023-06-04 22:45:00+00:00,1949.72,1949.72,1948.3,1948.94,31
2023-06-04 23:00:00+00:00,1948.9,1949.84,1948.8,1949.71,30
2023-06-04 23:15:00+00:00,1949.71,1949.74,1947.8,1948.68,32
2023-06-04 23:30:00+00:00,1948.71,1948.82,1947.48,1948.38,31
2023-06-04 23:45:00+00:00,1948.28,1949.41,1947.7,1949.3,37
2023-06-05 00:00:00+00:00,1949.27,1949.49,1948.16,1948.52,39
2023-06-05 00:15:00+00:00,1948.78,1949.01,1947.4,1947.6,39
2023-06-05 00:30:00+00:00,1947.38,1947.63,1945.7,1946.39,35
2023-06-05 00:45:00+00:00,1946.53,1946.68,1945.1,1946.34,41
2023-06-05 01:00:00+00:00,1946.56,1947.74,1946.19,1947.68,38
2023-06-05 01:15:00+00:00,1947.64,1947.64,1946.09,1946.27,40
2023-06-05 01:30:00+00:00,1946.28,1947.54,1945.89,1946.67,37
2023-06-05 01:45:00+00:00,1947.38,1948.19,1946.57,1947.6,39
2023-06-05 02:00:00+00:00,1947.3,1948.2,1946.53,1946.82,40
2023-06-05 02:15:00+00:00,1946.87,1946.87,1944.97,1945.73,38
2023-06-05 02:30:00+00:00,1945.68,1945.8,1943.9,1945.48,39
2023-06-05 02:45:00+00:00,1945.63,1945.68,1944.79,1945.03,39
2023-06-05 03:00:00+00:00,1944.79,1945.72,1944.5,1945.65,40
2023-06-05 03:15:00+00:00,1945.73,1945.78,1944.42,1944.44,40
2023-06-05 03:30:00+00:00,1944.84,1947.18,1944.44,1947.18,39
